N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,22933
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,20973
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,3995
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,34483
576630,2021-11-16 08:38:00,13816.0,Germany,91,19998
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,3000
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,7728
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,6750
570651,2021-10-11 13:34:00,14911.0,EIRE,86,32135
539736,2020-12-21 15:18:00,Sin identificar,United Kingdom,143,117246
537823,2020-12-08 14:25:00,Sin identificar,United Kingdom,1484,607371
575581,2021-11-10 11:53:00,12659.0,France,105,9168
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,72000
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,53015
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,295
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,57600
556427,2021-06-10 13:23:00,Sin identificar,United Kingdom,92,43569
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,31160
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,13290
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,123848
562417,2021-08-04 16:32:00,Sin identificar,United Kingdom,526,169138
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,24974
537026,2020-12-03 16:35:00,12395.0,Belgium,528,34610
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,14004
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,15560
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,15264
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,19362
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,7125
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,49376
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,65623
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,104864
549684,2021-04-11 13:24:00,Sin identificar,United Kingdom,1,3000
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,4125
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,33929
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,12888
542936,2021-02-02 11:10:00,Sin identificar,United Kingdom,144,16156
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,83595
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,30442
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,80076
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,22680
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,11111
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,16080
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,43743
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,14311
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,38031
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,33176
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,30502
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,41358
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,34920
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60,13254
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644,278640
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256,42041
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39,15225
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406,58746
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10,1650
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60,11555
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50,18890
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238,55952
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244,51795
571082,2021-10-13 15:25:00,Sin identificar,United Kingdom,479,135471
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234,28166
564476,2021-08-25 12:57:00,12610.0,Italy,168,30950
540353,2021-01-06 14:53:00,13764.0,United Kingdom,282,49989
558706,2021-07-01 12:52:00,16839.0,United Kingdom,320,41696
566278,2021-09-11 14:05:00,13614.0,United Kingdom,67,30215
540477,2021-01-07 14:49:00,13233.0,United Kingdom,404,30424
569695,2021-10-05 15:35:00,16843.0,United Kingdom,938,99388
538308,2020-12-10 13:29:00,14107.0,United Kingdom,268,36324
549054,2021-04-06 10:21:00,17719.0,United Kingdom,109,31219
555626,2021-06-06 11:55:00,16103.0,United Kingdom,92,27080
563921,2021-08-21 14:00:00,16407.0,United Kingdom,2,1590
563943,2021-08-22 10:04:00,13139.0,United Kingdom,268,54092
575854,2021-11-11 12:20:00,14125.0,United Kingdom,486,111108
552764,2021-05-11 11:34:00,17489.0,United Kingdom,232,20856
571407,2021-10-17 12:16:00,13750.0,United Kingdom,85,33063
548208,2021-03-29 17:12:00,14189.0,United Kingdom,224,31410
556922,2021-06-15 13:56:00,12748.0,United Kingdom,5,1425
572076,2021-10-20 14:01:00,13761.0,United Kingdom,418,57894
544189,2021-02-16 16:40:00,15867.0,United Kingdom,36,13300
562543,2021-08-05 15:45:00,13552.0,United Kingdom,216,46390
573136,2021-10-27 17:00:00,12709.0,Germany,110,26868
558261,2021-06-28 08:39:00,16945.0,United Kingdom,24,1008
581482,2021-12-09 09:08:00,17490.0,United Kingdom,228,48840
579740,2021-11-30 14:30:00,Sin identificar,United Kingdom,13,3207
559538,2021-07-10 12:25:00,16880.0,United Kingdom,135,26949
548862,2021-04-04 13:47:00,17956.0,United Kingdom,1,1275
565569,2021-09-05 12:21:00,14111.0,United Kingdom,18,4830
